ticker,board
IKAI,PEMANTAUAN KHUSUS
IKBI,PENGEMBANGAN
IMAS,UTAMA
IMJS,PENGEMBANGAN
IMPC,UTAMA
INAF,PEMANTAUAN KHUSUS
INAI,PENGEMBANGAN
INCI,PENGEMBANGAN
INCO,UTAMA
INDF,UTAMA
INDR,PENGEMBANGAN
INDS,PENGEMBANGAN
INDX,PENGEMBANGAN
INDY,UTAMA
INKP,UTAMA
INPC,UTAMA
INPP,PENGEMBANGAN
INRU,PENGEMBANGAN
INTA,PEMANTAUAN KHUSUS
INTD,PENGEMBANGAN
INTP,UTAMA
IPOL,PENGEMBANGAN
ISAT,UTAMA
ISSP,UTAMA
ITMA,PENGEMBANGAN
ITMG,UTAMA
JAWA,PENGEMBANGAN
JECC,PENGEMBANGAN
JIHD,PENGEMBANGAN
JKON,UTAMA
JPFA,UTAMA
JRPT,UTAMA
JSMR,UTAMA
JSPT,PENGEMBANGAN
JTPE,UTAMA
KAEF,PENGEMBANGAN
KARW,PEMANTAUAN KHUSUS
KBLI,UTAMA
KBLM,PENGEMBANGAN
KBLV,PENGEMBANGAN
KBRI,PEMANTAUAN KHUSUS
KDSI,PENGEMBANGAN
KIAS,PEMANTAUAN KHUSUS
KICI,PENGEMBANGAN
KIJA,UTAMA
KKGI,UTAMA
KLBF,UTAMA
KOBX,PENGEMBANGAN
KOIN,PEMANTAUAN KHUSUS
KONI,PENGEMBANGAN
KOPI,PENGEMBANGAN
KPIG,UTAMA
KRAS,PENGEMBANGAN
KREN,PEMANTAUAN KHUSUS
LAPD,PENGEMBANGAN
LCGP,PEMANTAUAN KHUSUS
LEAD,PENGEMBANGAN
LINK,PENGEMBANGAN
LION,PENGEMBANGAN
LMAS,PEMANTAUAN KHUSUS
LMPI,PENGEMBANGAN
LMSH,PEMANTAUAN KHUSUS
LPCK,PENGEMBANGAN
LPGI,PENGEMBANGAN
LPIN,PENGEMBANGAN
LPKR,UTAMA
LPLI,PENGEMBANGAN
LPPF,UTAMA
LPPS,PENGEMBANGAN
LRNA,PENGEMBANGAN
LSIP,UTAMA
LTLS,UTAMA
MAGP,PEMANTAUAN KHUSUS
MAIN,UTAMA
MAPI,UTAMA
MAYA,UTAMA
MBAP,PENGEMBANGAN
MBSS,UTAMA
MBTO,PENGEMBANGAN
MCOR,UTAMA
MDIA,PEMANTAUAN KHUSUS
MDKA,UTAMA
MDLN,PENGEMBANGAN
MDRN,PEMANTAUAN KHUSUS
MEDC,UTAMA
MEGA,UTAMA
MERK,PENGEMBANGAN
META,PEMANTAUAN KHUSUS
MFMI,PEMANTAUAN KHUSUS
MGNA,PENGEMBANGAN
MICE,PENGEMBANGAN
MIDI,UTAMA
MIKA,UTAMA
